r1,r2,r3,r4,r5,r6,c1,c2,cost
6800.0,4700.0,8200.0,8200.0,27000.0,27000.0,1e-07,2.2e-08,1.2100274911683913
8200.0,1000.0,12000.0,1800.0,8200.0,39000.0,1.5e-08,4.7e-08,1.0818480491339493
33000.0,47000.0,47000.0,27000.0,2700.0,5600.0,2.2e-08,2.2e-08,2.396266090422406
22000.0,18000.0,15000.0,1500.0,10000.0,39000.0,2.2e-08,3.3e-08,1.1091612255110794
47000.0,2200.0,2700.0,47000.0,6800.0,12000.0,6.8e-08,4.7e-08,2.2763308135001985
33000.0,10000.0,1500.0,1500.0,2700.0,6800.0,1.5e-08,2.2e-08,2.539968480132278
6800.0,47000.0,5600.0,4700.0,39000.0,47000.0,3.3e-08,2.2e-08,1.0460877303575575
15000.0,8200.0,33000.0,22000.0,15000.0,12000.0,1.5e-08,1.5e-08,2.731007958987935
1000.0,2200.0,3900.0,4700.0,1500.0,3300.0,1.5e-08,3.3e-08,3.010671022028055
1800.0,1800.0,1500.0,18000.0,27000.0,1200.0,1e-08,1e-07,2.7289769248727764
10000.0,22000.0,1500.0,1800.0,4700.0,39000.0,1.5e-08,1e-08,2.5701912373656963
47000.0,10000.0,5600.0,3900.0,3900.0,5600.0,3.3e-08,6.8e-08,2.164172057814413
2200.0,2200.0,22000.0,2700.0,1000.0,1200.0,6.8e-08,2.2e-08,1.9241367497469708
6800.0,18000.0,15000.0,27000.0,4700.0,27000.0,3.3e-08,1.5e-08,1.8716967103733608
27000.0,2700.0,33000.0,39000.0,15000.0,47000.0,6.8e-08,6.8e-08,1.1163573816731571
33000.0,12000.0,22000.0,47000.0,47000.0,27000.0,2.2e-08,2.2e-08,3.2626429730585773
