r1,r2,r3,r4,r5,r6,c1,c2,cost
39000.0,100,100,39000.0,15000.0,82000.0,4.7e-09,4.7e-08,1.1271305041899793
820,15000.0,180,3300.0,18000.0,2200.0,3.3e-08,3.3e-08,0.8542258876583937
68000.0,220,2700.0,5600.0,180,6800.0,1e-09,1.5e-09,4.544438009380609
15000.0,8200.0,5600.0,27000.0,120,120,6.8e-09,1e-08,4.998835790269743
68000.0,3300.0,1200.0,1800.0,560,12000.0,4.7e-08,1.5e-09,4.449950776460854
15000.0,560,820,560,18000.0,180,4.7e-08,1.5e-08,0.7977347945935855
270,27000.0,47000.0,22000.0,4700.0,33000.0,4.7e-08,6.8e-09,0.9881939572622005
390,330,33000.0,10000.0,6800.0,120,3.3e-08,6.8e-08,0.6252421298722507
12000.0,8200.0,150,220,1500.0,18000.0,4.7e-09,2.2e-08,2.4454848040413464
18000.0,2700.0,5600.0,68000.0,680,150,6.8e-08,1.5e-09,4.874556982668005
12000.0,18000.0,33000.0,1500.0,180,82000.0,1.5e-09,4.7e-08,1.0598048346837503
1500.0,330,220,1000.0,22000.0,560,6.8e-09,1.5e-09,1.8907097779415256
560,120,390,1000.0,2700.0,8200.0,6.8e-08,6.8e-09,2.066247066409891
120,270,15000.0,330,180,39000.0,4.7e-09,4.7e-09,1.2042545480362026
39000.0,4700.0,10000.0,82000.0,150,120,1e-08,4.7e-09,4.999721893985346
150,3300.0,22000.0,150,12000.0,3900.0,1.5e-08,2.2e-08,1.0374090494579753
1800.0,270,10000.0,12000.0,270,10000.0,4.7e-09,6.8e-09,2.688042025245061
39000.0,18000.0,3900.0,8200.0,10000.0,82000.0,2.2e-09,4.7e-09,2.4560338795924683
27000.0,180,4700.0,1500.0,470,1000.0,3.3e-09,6.8e-09,3.963765655298822
1800.0,18000.0,6800.0,100,8200.0,3300.0,2.2e-09,1e-08,2.210407068209329
6800.0,6800.0,15000.0,270,47000.0,33000.0,4.7e-08,3.3e-09,1.002329528379396
18000.0,82000.0,330,390,1200.0,4700.0,2.2e-08,1e-08,3.0737777282311898
1200.0,56000.0,1800.0,68000.0,12000.0,1000.0,1.5e-08,2.2e-09,3.5579429990307676
8200.0,15000.0,6800.0,2200.0,120,68000.0,1.5e-09,1.5e-08,1.4638018590687363
1800.0,33000.0,8200.0,680,820,3300.0,1e-09,2.2e-09,1.8308590495386807
680,100,270,2700.0,560,560,4.7e-08,4.7e-08,4.168694162995999
2700.0,22000.0,18000.0,22000.0,22000.0,680,6.8e-08,1e-09,0.9906528042780375
4700.0,560,22000.0,8200.0,1200.0,470,4.7e-09,1.5e-08,4.376135519322387
8200.0,22000.0,68000.0,10000.0,10000.0,120,1.5e-09,3.3e-09,1.143824786535164
3900.0,33000.0,3300.0,1200.0,470,15000.0,1e-09,2.2e-09,4.8008013264518805
18000.0,15000.0,150,680,15000.0,1500.0,2.2e-08,1.5e-08,1.2579816218528959
180,100,33000.0,39000.0,39000.0,39000.0,4.7e-08,1e-09,0.8600549663114325
1000.0,22000.0,56000.0,82000.0,1000.0,1000.0,4.7e-09,2.2e-09,3.9983849856302993
15000.0,220,1800.0,6800.0,10000.0,22000.0,3.3e-09,1.5e-08,2.4323223845852913
1200.0,1500.0,1000.0,120,12000.0,15000.0,6.8e-09,3.3e-09,2.327328996500246
2700.0,3300.0,18000.0,12000.0,180,1200.0,3.3e-08,2.2e-09,2.8102816341006833
12000.0,1000.0,5600.0,3300.0,820,8200.0,3.3e-08,2.2e-09,3.7339675814140105
270,120,68000.0,820,270,68000.0,1.5e-09,1e-08,1.0596493774563847
560,220,1200.0,1200.0,560,220,2.2e-09,4.7e-09,4.975974314577899
1500.0,1200.0,1500.0,2200.0,220,10000.0,3.3e-08,1.5e-09,4.874749122007348
47000.0,33000.0,220,1000.0,470,150,2.2e-09,2.2e-08,4.989926264737747
100,120,18000.0,470,39000.0,3900.0,1e-09,2.2e-09,2.51188180328178
27000.0,6800.0,3300.0,15000.0,3900.0,2700.0,1.5e-08,4.7e-09,3.914326235667993
10000.0,47000.0,10000.0,22000.0,1200.0,1800.0,3.3e-09,3.3e-08,4.934570613574417
1200.0,390,120,120,68000.0,4700.0,6.8e-08,6.8e-09,1.0153497710838175
100,1200.0,470,39000.0,180,1800.0,6.8e-08,3.3e-09,4.884354180786793
2700.0,33000.0,820,33000.0,220,680,1.5e-09,4.7e-08,4.98620892050788
560,1800.0,150,180,15000.0,150,1.5e-09,3.3e-08,0.8759081675642972
390,15000.0,2700.0,3900.0,220,39000.0,2.2e-09,4.7e-09,3.896136617120483
22000.0,3300.0,560,3900.0,12000.0,3300.0,1e-08,1.5e-08,3.5322081901029776
82000.0,820,56000.0,180,68000.0,2700.0,4.7e-09,3.3e-09,1.2619399973048353
56000.0,5600.0,2200.0,3900.0,470,3300.0,4.7e-08,2.2e-09,4.3085761118301855
3300.0,1500.0,27000.0,6800.0,220,1800.0,4.7e-08,4.7e-08,2.526286402360228
12000.0,220,15000.0,1500.0,15000.0,2200.0,1.5e-09,3.3e-08,2.0069978107998954
1800.0,1200.0,1500.0,56000.0,3300.0,82000.0,6.8e-08,1.5e-09,2.925650422453346
39000.0,680,12000.0,3300.0,6800.0,68000.0,2.2e-08,4.7e-09,1.5686950919067966
470,56000.0,390,560,150,270,3.3e-08,6.8e-08,0.9392907573384695
56000.0,820,820,39000.0,1000.0,22000.0,2.2e-08,1.5e-09,3.7110936801015173
1500.0,47000.0,12000.0,1500.0,82000.0,180,1.5e-08,6.8e-08,0.994653744644663
1200.0,8200.0,10000.0,680,390,3300.0,2.2e-09,4.7e-08,2.512953677426113
4700.0,12000.0,68000.0,27000.0,15000.0,6800.0,1e-08,1e-08,0.4564139621321095
